[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.03
[File, System, Other] FileName - File Name: MP3.mp3
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 395 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:05:13 07:46:22-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:07:29 09:04:12-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2017:12:27 12:00:59-05:00
[File, System, Other] FilePermissions - File Permissions: rwxr-xr-x
[File, File, Other] FileType - File Type: MP3
[File, File, Other] FileTypeExtension - File Type Extension: mp3
[File, File, Other] MIMEType - MIME Type: audio/mpeg
[File, File, Image] ID3Size - ID3 Size: 391
[MPEG, MPEG, Audio] Bit11-12 - MPEG Audio Version: 1
[MPEG, MPEG, Audio] Bit13-14 - Audio Layer: 3
[MPEG, MPEG, Audio] Bit16-19 - Audio Bitrate: 128 kbps
[MPEG, MPEG, Audio] Bit20-21 - Sample Rate: 44100
[MPEG, MPEG, Audio] Bit24-25 - Channel Mode: Joint Stereo
[MPEG, MPEG, Audio] Bit26 - MS Stereo: On
[MPEG, MPEG, Audio] Bit27 - Intensity Stereo: Off
[MPEG, MPEG, Audio] Bit28 - Copyright Flag: True
[MPEG, MPEG, Audio] Bit29 - Original Media: True
[MPEG, MPEG, Audio] Bit30-31 - Emphasis: None
[ID3, ID3v2_2, Audio] TRK - Track: 1/5
[ID3, ID3v2_2, Audio] TPA - Part Of Set: 1/2
[ID3, ID3v2_2, Audio] RVA - Relative Volume Adjustment: +18.0% Right, +18.0% Left
[ID3, ID3v2_2, Audio] ULT - Lyrics: Do-wap she-bang
[ID3, ID3v2_2, Image] PIC-1 - Picture Format: JPG
[ID3, ID3v2_2, Image] PIC-2 - Picture Type: Other
[ID3, ID3v2_2, Image] PIC-3 - Picture Description: comment
[ID3, ID3v2_2, Preview] PIC - Picture: (Binary data 15 bytes)
[ID3, ID3v2_2, Audio] TT2 - Title: ExifTool Test
[ID3, ID3v2_2, Author] TP1 - Artist: Phil Harvey
[ID3, ID3v2_2, Audio] TCM - Composer: A Composer
[ID3, ID3v2_2, Audio] TAL - Album: Phil's Greatest Hits
[ID3, ID3v2_2, Audio] TT1 - Grouping: This group
[ID3, ID3v2_2, Time] TYE - Year: 2005
[ID3, ID3v2_2, Audio] TCO - Genre: Testing
[ID3, ID3v2_2, Audio] COM - Comment: My Comments
[ID3, ID3v1, Audio] 3 - Title: Title
[ID3, ID3v1, Author] 33 - Artist: Artist
[ID3, ID3v1, Audio] 63 - Album: Album
[ID3, ID3v1, Time] 93 - Year: 2003
[ID3, ID3v1, Audio] 97 - Comment: Comment
[ID3, ID3v1, Audio] 127 - Genre: Hip-Hop
[Composite, Composite, Time] ID3-DateTimeOriginal - Date/Time Original: 2005
[Composite, Composite, Video] MPEG-Duration - Duration: 0.00 s (approx)
