[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.03
[File, System, Other] FileName - File Name: PCX.pcx
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 160 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2018:12:12 09:01:43-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:07:29 09:04:14-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2018:12:12 13:16:32-05:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: PCX
[File, File, Other] FileTypeExtension - File Type Extension: pcx
[File, File, Other] MIMEType - MIME Type: image/pcx
[File, File, Image] 0 - Manufacturer: ZSoft
[File, File, Image] 1 - Software: PC Paintbrush 3.0+
[File, File, Image] 2 - Encoding: RLE
[File, File, Image] 3 - Bits Per Pixel: 8
[File, File, Image] 4 - Left Margin: 0
[File, File, Image] 6 - Top Margin: 0
[File, File, Image] 8 - Image Width: 8
[File, File, Image] 10 - Image Height: 8
[File, File, Image] 12 - X Resolution: 72
[File, File, Image] 14 - Y Resolution: 72
[File, File, Image] 65 - Color Planes: 3
[File, File, Image] 66 - Bytes Per Line: 8
[File, File, Image] 68 - Color Mode: Color Palette
[Composite, Composite, Image] Exif-ImageSize - Image Size: 8x8
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000064
