[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.03
[File, System, Other] FileName - File Name: AFCP.jpg
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 1110 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:01:04 14:02:27-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:07:29 09:03:59-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2017:12:27 12:00:59-05:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: JPEG
[File, File, Other] FileTypeExtension - File Type Extension: jpg
[File, File, Other] MIMEType - MIME Type: image/jpeg
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[IPTC, IPTC2, Other] 0 - Application Record Version: 2
[IPTC, IPTC2, Other] 15 - Category: p
[IPTC, IPTC2, Time] 55 - Date Created: 2005:12:23
[IPTC, IPTC2, Other] 5 - Object Name: object name
[IPTC, IPTC2, Other] 10 - Urgency: 2
[IPTC, IPTC2, Other] 20 - Supplemental Categories: supp cat
[IPTC, IPTC2, Other] 25 - Keywords: keyword
[IPTC, IPTC2, Other] 40 - Special Instructions: special instructions
[IPTC, IPTC2, Author] 80 - By-line: byline
[IPTC, IPTC2, Author] 85 - By-line Title: byline title
[IPTC, IPTC2, Location] 90 - City: city
[IPTC, IPTC2, Location] 101 - Country-Primary Location Name: country name
[IPTC, IPTC2, Other] 103 - Original Transmission Reference: otr
[IPTC, IPTC2, Other] 105 - Headline: headline
[IPTC, IPTC2, Author] 110 - Credit: credit
[IPTC, IPTC2, Author] 115 - Source: source
[IPTC, IPTC2, Author] 116 - Copyright Notice: copy freely
[IPTC, IPTC2, Other] 120 - Caption-Abstract: ExifTool AFCP test
[IPTC, IPTC2, Author] 122 - Writer-Editor: caption writer
[IPTC, IPTC2, Location] 95 - Province-State: state
[Composite, Composite, Image] Exif-ImageSize - Image Size: 8x8
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000064
