[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.93
[File, System, Image] FileName - File Name: Palm.mobi
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 1382 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2014:05:29 12:42:41-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2015:04:18 07:17:35-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2015:03:07 15:31:28-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: MOBI
[File, File, Image] FileTypeExtension - File Type Extension: mobi
[File, File, Image] MIMEType - MIME Type: application/x-mobipocket-ebook
[Palm, Palm, Document] 0 - Database Name: El_Diezmo_Continua_Vigente
[Palm, Palm, Time] 9 - Create Date: 2014:05:27 20:00:51-04:00
[Palm, Palm, Time] 10 - Modify Date: 2014:05:27 20:00:51-04:00
[Palm, Palm, Time] 11 - Last Backup Date: 0000:00:00 00:00:00
[Palm, Palm, Document] 12 - Modification Number: 0
[Palm, Palm, Document] 15 - Palm File Type: Mobipocket
[Palm, MOBI, Document] 0 - Compression: PalmDOC
[Palm, MOBI, Document] 1 - Uncompressed Text Length: 168 kB
[Palm, MOBI, Document] 3 - Encryption: None
[Palm, MOBI, Document] 6 - Mobi Type: Mobipocket Book
[Palm, MOBI, Document] 7 - Code Page: Windows Latin 1 (Western European)
[Palm, MOBI, Document] 9 - Mobi Version: 6
[Palm, MOBI, Document] 21 - Book Name: El Diezmo Continua Vigente
[Palm, MOBI, Document] 26 - Minimum Version: 6
[Palm, MOBI, Author] 100 - Author: Mike Peralta
[Palm, MOBI, Document] 108 - Contributor: Smashwords, Inc.
[Palm, MOBI, Document] 103 - Description: Hebreos 7:8  “Y aquí ciertamente reciben los diezmos hombres mortales; pero allí, uno [Jesucristo] de quien se da testimonio de que [Jesucristo] vive.”  Basado en Hebreos 7:8, Jesús ahora recibe nuestros diezmos y esta en el Nuevo Testamento. Aquellos que dicen que el diezmo ya no se aplica están hablando falsamente y directamente opuestos al evangelio del Nuevo Testamento de Jesucristo.
[Palm, MOBI, Document] 204 - Creator Software: Kindlegen (Linux)
[Palm, MOBI, Document] 205 - Creator Major Version: 1
[Palm, MOBI, Document] 206 - Creator Minor Version: 1
[Palm, MOBI, Document] 207 - Creator Build Number: 98
